vehicle_class,engine_size,cylinders,fuel_type,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb,fuel_cons_comb_mpg,co2
SUV - SMALL,3.5,6,Premium gasoline,12.1,8.7,10.6,27.0,244.0
SUV - STANDARD,6.2,8,Ethanol (E85),25.7,17.8,22.1,13.0,354.0
FULL-SIZE,2.0,4,Regular gasoline,10.4,7.4,9.1,31.0,209.0
COMPACT,3.5,6,Premium gasoline,12.0,8.2,10.3,27.0,240.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.9,10.5,12.4,23.0,285.0
FULL-SIZE,1.6,4,Regular gasoline,10.3,7.9,9.2,31.0,218.0
MID-SIZE,3.0,6,Premium gasoline,12.3,9.2,10.9,26.0,257.0
TWO-SEATER,3.7,6,Premium gasoline,13.6,9.7,11.8,24.0,271.0
SUBCOMPACT,2.3,4,Regular gasoline,11.8,8.4,10.3,27.0,240.0
COMPACT,3.6,6,Premium gasoline,13.9,9.3,11.8,24.0,271.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.2,8.3,9.3,30.0,217.0
MID-SIZE,1.8,4,Regular gasoline,8.4,6.4,7.5,38.0,174.0
SUBCOMPACT,1.4,4,Regular gasoline,7.8,6.2,7.1,40.0,167.0
MINICOMPACT,1.3,4,Regular gasoline,6.6,5.7,6.2,46.0,143.0
FULL-SIZE,3.5,6,Regular gasoline,13.0,9.1,11.3,25.0,260.0
SUBCOMPACT,2.0,4,Premium gasoline,10.9,7.6,9.4,30.0,219.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,14.7,11.5,13.3,21.0,306.0
COMPACT,1.8,4,Regular gasoline,8.1,6.3,7.3,39.0,170.0
STATION WAGON - SMALL,3.7,6,Premium gasoline,13.7,9.8,11.9,24.0,280.0
STATION WAGON - SMALL,3.7,6,Premium gasoline,13.7,9.7,11.9,24.0,279.0
STATION WAGON - SMALL,2.5,5,Regular gasoline,11.6,8.2,10.1,28.0,233.0
MID-SIZE,1.8,4,Regular gasoline,8.1,6.3,7.3,39.0,172.0
STATION WAGON - SMALL,1.6,4,Regular gasoline,9.8,7.9,8.9,32.0,205.0
STATION WAGON - MID-SIZE,3.0,6,Premium gasoline,12.4,9.5,11.1,25.0,261.0
SUV - SMALL,2.0,4,Premium gasoline,11.0,8.4,9.8,29.0,231.0
FULL-SIZE,1.6,4,Regular gasoline,11.1,8.0,9.7,29.0,223.0
MID-SIZE,2.0,4,Regular gasoline,11.8,8.4,10.3,27.0,242.0
MID-SIZE,3.5,6,Premium gasoline,12.5,9.2,11.0,26.0,257.0
STATION WAGON - SMALL,1.5,4,Regular gasoline,7.0,5.9,6.5,43.0,151.0
PICKUP TRUCK - SMALL,2.7,4,Regular gasoline,11.3,8.9,10.2,28.0,235.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,17.6,12.9,15.5,18.0,356.0
MID-SIZE,2.0,4,Regular gasoline,9.3,6.5,8.1,35.0,188.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,11.2,8.4,9.9,29.0,232.0
SUV - STANDARD,3.5,6,Regular gasoline,16.1,12.4,14.5,19.0,339.0
TWO-SEATER,2.0,4,Premium gasoline,9.0,6.6,7.9,36.0,186.0
FULL-SIZE,3.5,6,Regular gasoline,13.7,9.4,11.8,24.0,271.0
MID-SIZE,6.4,8,Premium gasoline,16.8,10.4,13.9,20.0,320.0
VAN - CARGO,5.3,8,Ethanol (E85),25.3,19.3,22.6,12.0,362.0
SUV - SMALL,3.0,6,Premium gasoline,12.7,8.8,10.9,26.0,257.0
VAN - CARGO,8.916884450118166,5,Diesel,10.609378902904677,3.2846644494011565,25.50247139390759,40.06239303491555,325.8535479152267
FULL-SIZE,2.4,4,Regular gasoline,9.5,7.1,8.4,34.0,199.0
SUV - SMALL,2.0,4,Regular gasoline,10.5,8.1,9.4,30.0,220.0
SUV - STANDARD,5.3,8,Regular gasoline,16.0,11.1,13.8,20.0,317.0
FULL-SIZE,3.3,6,Regular gasoline,12.7,8.4,10.7,26.0,251.0
MID-SIZE,2.0,4,Regular gasoline,9.8,6.9,8.5,33.0,196.0
SUV - SMALL,1.6,4,Regular gasoline,10.4,7.4,9.0,31.0,207.0
VAN - PASSENGER,6.0,8,Ethanol (E85),30.3,20.5,25.9,11.0,414.0
SUV - SMALL,2.4,4,Regular gasoline,11.7,9.2,10.6,27.0,249.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,9.4,7.1,8.4,34.0,195.0
MID-SIZE,3.5,6,Premium gasoline,12.3,9.1,10.9,26.0,251.0
COMPACT,2.0,4,Regular gasoline,9.1,6.9,8.1,35.0,189.0
TWO-SEATER,6.2,8,Premium gasoline,18.2,12.5,15.6,18.0,368.0
COMPACT,2.0,4,Regular gasoline,9.0,7.0,8.1,35.0,189.0
MID-SIZE,1.8,4,Regular gasoline,7.7,6.0,6.9,41.0,159.0
PICKUP TRUCK - STANDARD,3.6,6,Ethanol (E85),19.4,13.6,16.8,17.0,279.0
MINIVAN,1.447877057273582,9,Ethanol (E85),21.444707501059366,3.4931103760741657,17.15861395056312,66.41381448549745,341.3029481308762
SUBCOMPACT,5.0,8,Regular gasoline,15.4,10.0,13.0,22.0,304.0
SUV - SMALL,3.5,6,Regular gasoline,13.3,9.3,11.5,25.0,264.0
COMPACT,2.0,4,Ethanol (E85),13.1,9.8,11.6,24.0,198.0
SUV - SMALL,2.0,4,Regular gasoline,9.3,7.6,8.5,33.0,196.0
FULL-SIZE,2.0,4,Regular gasoline,11.2,7.9,9.7,29.0,230.0
TWO-SEATER,3.0,6,Premium gasoline,11.8,8.5,10.3,27.0,241.0
FULL-SIZE,6.6,12,Premium gasoline,19.2,12.4,16.1,18.0,370.0
SUV - SMALL,2.5,4,Regular gasoline,6.9,7.8,7.3,39.0,170.0
SUBCOMPACT,6.0,12,Premium gasoline,16.8,10.9,14.2,20.0,327.0
SUV - SMALL,3.0,6,Premium gasoline,13.1,10.1,11.8,24.0,277.0
PICKUP TRUCK - STANDARD,3.3,6,Ethanol (E85),17.6,13.7,15.8,18.0,263.0
MINIVAN,3.4211003971354637,5,Premium gasoline,30.101859597701587,21.3396197871054,21.181076446214597,32.57557513185495,130.73830674703024
COMPACT,3.0,6,Premium gasoline,11.1,7.8,9.6,29.0,224.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,18.1,13.9,16.2,17.0,378.0
COMPACT,5.5,8,Premium gasoline,15.1,10.8,13.1,22.0,308.0
FULL-SIZE,1.6,4,Regular gasoline,10.7,8.1,9.6,29.0,226.0
SUBCOMPACT,1.8,4,Regular gasoline,9.7,7.2,8.5,33.0,199.0
SUV - SMALL,4.513330659069153,4,Ethanol (E85),31.44259193814731,6.2722096997986245,3.5338087267725005,39.63362291100608,171.53611954672874
MID-SIZE,2.0,4,Premium gasoline,11.3,7.8,9.7,29.0,227.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.0,10.2,11.7,24.0,274.0
SUV - SMALL,5.346986895883367,2,Premium gasoline,26.238198619302487,18.263894248837573,18.12255208243775,59.22561062627609,373.83548235513325
COMPACT,6.6,12,Premium gasoline,20.4,13.1,17.1,17.0,400.0
SUV - SMALL,2.5,4,Regular gasoline,11.1,8.1,9.7,29.0,229.0
SUV - SMALL,2.5,5,Regular gasoline,11.8,8.5,10.3,27.0,237.0
SUV - SMALL,3.5,6,Regular gasoline,12.2,9.0,10.8,26.0,252.0
SUV - SMALL,1.4,4,Regular gasoline,9.2,7.0,8.2,34.0,189.0
SUV - STANDARD,2.3,4,Regular gasoline,13.1,9.2,11.4,25.0,267.0
FULL-SIZE,4.7,8,Premium gasoline,14.3,9.5,12.1,23.0,278.0
SUV - SMALL,1.6,4,Regular gasoline,9.9,8.4,9.2,31.0,219.0
MID-SIZE,2.0,4,Regular gasoline,11.2,7.6,9.8,29.0,230.0
TWO-SEATER,3.0,6,Premium gasoline,9.9,7.7,8.9,32.0,208.0
PICKUP TRUCK - STANDARD,2.7,6,Regular gasoline,13.1,10.2,11.8,24.0,277.0
SPECIAL PURPOSE VEHICLE,2.5,4,Regular gasoline,11.9,8.7,10.4,27.0,244.0
MID-SIZE,4.6,8,Premium gasoline,15.2,10.2,12.9,22.0,303.0
SUV - SMALL,3.5,6,Premium gasoline,11.4,8.5,10.1,28.0,232.0
MID-SIZE,3.6,6,Ethanol (E85),18.6,12.6,15.9,18.0,254.0
SUV - STANDARD,5.0,8,Premium gasoline,18.0,12.2,15.4,18.0,354.0
SUV - SMALL,3.5,6,Regular gasoline,11.9,8.6,10.4,27.0,239.0
SUV - STANDARD,5.0,8,Premium gasoline,14.1,10.7,12.6,22.0,294.0
SUBCOMPACT,3.0,6,Premium gasoline,11.9,7.8,10.0,28.0,230.0
MID-SIZE,2.5,4,Regular gasoline,9.0,6.5,7.9,36.0,185.0
COMPACT,1.6,4,Regular gasoline,9.9,7.6,8.8,32.0,202.0
SPECIAL PURPOSE VEHICLE,2.0,4,Regular gasoline,13.1,9.4,11.4,25.0,268.0
SUBCOMPACT,2.3,4,Regular gasoline,11.2,7.3,9.4,30.0,221.0
COMPACT,1.2,3,Regular gasoline,7.1,5.8,6.5,43.0,151.0
SUV - SMALL,2.0,4,Premium gasoline,9.8,7.4,8.7,32.0,200.0
SUV - STANDARD,6.0,12,Premium gasoline,22.2,18.0,20.3,14.0,473.0
SUV - SMALL,2.0,4,Premium gasoline,10.9,8.3,9.7,29.0,228.0
SUV - STANDARD,3.0,6,Premium gasoline,13.6,9.8,11.9,24.0,274.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),22.4,17.0,20.0,14.0,320.0
SUBCOMPACT,6.2,8,Premium gasoline,14.9,9.9,12.6,22.0,296.0
SUV - SMALL,2.2,4,Diesel,8.9,7.9,8.4,34.0,227.0
COMPACT,1.6,4,Regular gasoline,8.8,6.4,7.7,37.0,179.0
MID-SIZE,1.4,4,Regular gasoline,9.0,6.2,7.8,36.0,179.0
MINICOMPACT,2.0,4,Premium gasoline,9.3,7.1,8.3,34.0,195.0
TWO-SEATER,4.0,6,Premium gasoline,18.0,11.5,15.1,19.0,352.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,16.4,12.6,14.7,19.0,344.0
STATION WAGON - SMALL,1.4,4,Regular gasoline,10.6,7.8,9.4,30.0,216.0
MID-SIZE,3.0,6,Premium gasoline,12.8,8.5,10.9,26.0,255.0
MID-SIZE,2.0,4,Regular gasoline,10.5,7.8,9.3,30.0,219.0
COMPACT,6.2,8,Premium gasoline,19.9,13.0,16.8,17.0,386.0
PICKUP TRUCK - SMALL,6.999541046305119,16,Premium gasoline,19.86373310485329,20.95374871511297,17.668821944480435,26.559950921352602,221.80506044134728
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),21.6,15.1,18.7,15.0,306.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,16.6,13.0,15.0,19.0,350.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.8,7.7,9.4,30.0,220.0
SUV - STANDARD,5.0,8,Premium gasoline,14.4,11.2,12.9,22.0,305.0
MID-SIZE,3.0,6,Premium gasoline,14.1,9.8,12.4,23.0,286.0
FULL-SIZE,6.0,12,Premium gasoline,18.6,10.9,15.1,19.0,356.0
SUBCOMPACT,5.0,8,Regular gasoline,16.1,9.9,13.3,21.0,311.0
COMPACT,1.8,4,Regular gasoline,4.4,4.5,4.5,63.0,106.0
PICKUP TRUCK - STANDARD,3.3,6,Regular gasoline,12.4,9.8,11.2,25.0,263.0
SUBCOMPACT,3.7,6,Premium gasoline,12.9,8.9,11.1,25.0,255.0
SUV - SMALL,4.0,6,Regular gasoline,15.2,11.9,13.7,21.0,315.0
COMPACT,2.0,4,Ethanol (E85),12.4,9.1,10.9,26.0,182.0
SUBCOMPACT,3.0,6,Premium gasoline,13.8,9.0,11.7,24.0,273.0
MINIVAN,2.5,4,Regular gasoline,11.1,8.3,9.8,29.0,225.0
COMPACT,2.0,4,Regular gasoline,9.8,7.2,8.6,33.0,198.0
SUV - SMALL,2.0,4,Premium gasoline,10.0,7.8,9.0,31.0,210.0
COMPACT,1.4,4,Premium gasoline,5.6,4.9,5.3,53.0,122.0
VAN - CARGO,5.3,8,Regular gasoline,18.0,13.4,15.9,18.0,366.0
PICKUP TRUCK - STANDARD,4.3,6,Regular gasoline,13.4,9.9,11.9,24.0,274.0
STATION WAGON - SMALL,3.0,6,Regular gasoline,12.8,9.1,11.1,25.0,255.0
COMPACT,1.4,4,Premium gasoline,5.7,4.9,5.3,53.0,124.0
SUV - SMALL,3.6,6,Regular gasoline,15.0,11.4,13.4,21.0,308.0
FULL-SIZE,3.6,6,Ethanol (E85),17.3,11.7,14.8,19.0,243.0
COMPACT,2.0,4,Diesel,7.6,5.7,6.9,41.0,183.0
SUV - STANDARD,3.0,6,Premium gasoline,12.0,9.4,10.8,26.0,254.0
MINICOMPACT,2.0,4,Premium gasoline,10.9,7.9,9.6,29.0,224.0
SUV - STANDARD,5.5,8,Premium gasoline,17.7,13.4,15.8,18.0,363.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,15.0,10.7,13.1,22.0,306.0
COMPACT,6.6,12,Premium gasoline,20.3,13.0,17.0,17.0,397.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,10.2,7.2,8.9,32.0,238.0
MID-SIZE,4.4,8,Premium gasoline,17.3,11.5,14.7,19.0,338.0
SUV - STANDARD,5.3,8,Regular gasoline,15.1,10.4,13.0,22.0,299.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,14.6,10.1,12.6,22.0,290.0
SUV - SMALL,2.0,4,Regular gasoline,12.7,9.7,11.4,25.0,262.0
COMPACT,3.6,6,Regular gasoline,12.6,7.9,10.5,27.0,242.0
SUV - SMALL,3.5,6,Premium gasoline,11.9,8.8,10.5,27.0,246.0
MID-SIZE,1.8,4,Regular gasoline,4.4,4.6,4.5,63.0,105.0
COMPACT,2.0,4,Premium gasoline,9.6,6.6,8.2,34.0,193.0
COMPACT,1.4,4,Regular gasoline,8.3,5.9,7.2,39.0,168.0
SUV - STANDARD,5.0,8,Premium gasoline,17.3,12.2,15.0,19.0,345.0
FULL-SIZE,3.6,6,Premium gasoline,13.1,8.7,11.1,25.0,255.0
MID-SIZE,1.5,4,Regular gasoline,9.4,6.3,8.0,35.0,188.0
SUV - SMALL,1.4,4,Regular gasoline,9.4,7.9,8.8,32.0,205.0
MID-SIZE,3.5,6,Premium gasoline,8.0,7.5,7.7,37.0,180.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,12.7,9.5,11.3,25.0,264.0
SUV - SMALL,2.0,4,Regular gasoline,10.9,7.9,9.6,29.0,224.0
FULL-SIZE,1.6,4,Regular gasoline,11.1,8.2,9.8,29.0,225.0
MID-SIZE,2.5,4,Regular gasoline,5.8,6.1,5.9,48.0,139.0
PICKUP TRUCK - STANDARD,3.3,6,Regular gasoline,12.9,10.2,11.7,24.0,273.0
SUV - STANDARD,5.3,8,Ethanol (E85),21.5,14.6,18.4,15.0,294.0
SUV - SMALL,2.0,4,Regular gasoline,10.4,7.5,9.1,31.0,213.0
SUV - SMALL,3.2,6,Regular gasoline,12.2,9.0,10.8,26.0,248.0
MID-SIZE,1.5,4,Regular gasoline,9.9,6.5,8.4,34.0,197.0
TWO-SEATER,3.0,6,Premium gasoline,13.7,10.1,12.1,23.0,278.0
FULL-SIZE,2.0,4,Regular gasoline,9.7,6.8,8.4,34.0,193.0
FULL-SIZE,1.5,4,Premium gasoline,8.0,6.6,7.4,38.0,172.0
COMPACT,2.0,4,Premium gasoline,11.3,8.5,10.1,28.0,236.0
COMPACT,2.0,4,Regular gasoline,7.7,6.1,7.0,40.0,164.0
VAN - PASSENGER,6.0,8,Regular gasoline,21.8,14.8,18.6,15.0,438.0
SUV - SMALL,2.0,4,Premium gasoline,10.7,8.4,9.7,29.0,226.0
TWO-SEATER,5.5,8,Premium gasoline,14.7,9.5,12.4,23.0,298.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,16.3,11.5,14.1,20.0,324.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,8.8,7.4,8.2,34.0,192.0
MINICOMPACT,3.8,6,Premium gasoline,13.8,10.3,12.3,23.0,285.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,16.2,11.5,14.1,20.0,324.0
SUV - SMALL,3.6,6,Regular gasoline,14.2,9.4,12.0,24.0,276.0
MID-SIZE,4.0,8,Premium gasoline,16.2,9.3,13.1,22.0,309.0
MID-SIZE,2.0,4,Premium gasoline,12.0,8.1,10.3,27.0,237.0
FULL-SIZE,3.6,6,Regular gasoline,12.8,8.7,11.0,26.0,257.0
SUV - SMALL,2.0,4,Regular gasoline,11.5,8.0,9.9,29.0,233.0
MID-SIZE,2.0,4,Regular gasoline,11.8,8.1,10.1,28.0,238.0
COMPACT,2.0,4,Regular gasoline,9.1,6.6,8.0,35.0,184.0
SUV - STANDARD,4.8,8,Premium gasoline,15.5,10.7,13.2,21.0,310.0
MINICOMPACT,3.0,6,Premium gasoline,11.0,8.5,9.9,29.0,232.0
COMPACT,4.4,8,Premium gasoline,13.8,9.1,11.7,24.0,273.0
SUV - SMALL,2.0,4,Premium gasoline,11.4,8.9,10.3,27.0,242.0
SUBCOMPACT,1.6,4,Premium gasoline,8.7,6.6,7.8,36.0,179.0
MID-SIZE,2.5,4,Regular gasoline,9.2,6.6,8.1,35.0,186.0
MID-SIZE,4.0,8,Premium gasoline,13.3,8.8,11.3,25.0,263.0
TWO-SEATER,4.0,6,Premium gasoline,16.4,11.2,14.1,20.0,334.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.0,14.8,17.6,16.0,293.0
SUV - SMALL,2.5,4,Regular gasoline,9.7,7.4,8.7,32.0,205.0
COMPACT,6.2,8,Premium gasoline,18.1,12.3,15.5,18.0,357.0
MID-SIZE,3.6,6,Ethanol (E85),16.5,10.1,13.6,21.0,218.0
MINIVAN,3.5,6,Regular gasoline,13.7,9.9,12.0,24.0,276.0
FULL-SIZE,3.6,6,Regular gasoline,13.6,8.6,11.3,25.0,263.0
SUV - SMALL,3.5,6,Premium gasoline,12.2,9.0,10.7,26.0,251.0
FULL-SIZE,4.8,8,Premium gasoline,15.1,9.7,12.7,22.0,292.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.6,7.1,8.5,33.0,196.0
VAN - PASSENGER,4.6,8,Ethanol (E85),25.5,20.0,23.0,12.0,368.0
TWO-SEATER,3.0,6,Premium gasoline,10.3,8.0,9.3,30.0,216.0
VAN - CARGO,8.400859829062664,15,Regular gasoline,29.381228274656518,4.645960538165703,7.803588698059484,12.713637334632285,234.24138156667715
PICKUP TRUCK - SMALL,3.5,6,Regular gasoline,13.0,10.5,11.9,24.0,278.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,14.5,10.6,12.7,22.0,292.0
FULL-SIZE,3.8,6,Regular gasoline,14.4,9.4,12.1,23.0,285.0
MINICOMPACT,3.0,6,Premium gasoline,12.1,8.3,10.4,27.0,243.0
FULL-SIZE,3.6,6,Ethanol (E85),18.3,12.6,15.7,18.0,251.0
SUBCOMPACT,1.6,4,Regular gasoline,8.6,6.4,7.6,37.0,179.0
FULL-SIZE,3.3,6,Regular gasoline,12.7,8.4,10.7,26.0,246.0
SUV - STANDARD,3.5,6,Regular gasoline,14.7,11.2,13.1,22.0,308.0
SUV - STANDARD,5.5,8,Premium gasoline,20.0,16.6,18.5,15.0,413.0
SUV - STANDARD,3.5,6,Regular gasoline,8.4,8.3,8.4,34.0,193.0
MINICOMPACT,3.8,6,Premium gasoline,12.3,8.9,10.8,26.0,248.0
FULL-SIZE,3.8,6,Regular gasoline,13.4,9.6,11.7,24.0,276.0
SUV - SMALL,2.5,4,Regular gasoline,9.5,7.4,8.6,33.0,200.0
SPECIAL PURPOSE VEHICLE,1.366445795104922,5,Premium gasoline,18.32553988446504,3.9639177848971405,11.178502676654093,18.064880616338456,122.1244873623446
MID-SIZE,3.6,6,Premium gasoline,15.0,9.9,12.7,22.0,298.0
SUV - SMALL,3.5,6,Premium gasoline,12.5,9.0,10.9,26.0,257.0
COMPACT,3.0,6,Premium gasoline,9.2,6.2,7.8,36.0,183.0
MID-SIZE,3.5,6,Premium gasoline,11.9,7.7,10.0,28.0,230.0
SUV - STANDARD,3.6,6,Regular gasoline,12.7,9.6,11.3,25.0,265.0
SUV - SMALL,3.6,6,Regular gasoline,14.2,9.5,12.1,23.0,278.0
FULL-SIZE,2.0,4,Premium gasoline,10.6,7.2,9.1,31.0,209.0
STATION WAGON - SMALL,1.4,4,Regular gasoline,9.5,7.1,8.4,34.0,195.0
TWO-SEATER,3.4,6,Premium gasoline,11.9,8.6,10.4,27.0,239.0
SUV - STANDARD,5.3,8,Ethanol (E85),22.2,15.3,19.1,15.0,319.0
COMPACT,1.5,4,Regular gasoline,7.8,,7.2,39.0,169.0
MID-SIZE,2.4,4,Regular gasoline,8.8,6.5,7.8,36.0,179.0
MID-SIZE,3.0,6,Premium gasoline,12.6,8.0,10.5,27.0,246.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,12.9,9.3,11.3,25.0,260.0
SUBCOMPACT,1.5,3,Premium gasoline,8.7,6.8,7.9,36.0,184.0
COMPACT,1.6,4,Regular gasoline,8.9,7.3,8.2,34.0,193.0
SUBCOMPACT,2.0,4,Premium gasoline,9.4,6.4,8.1,35.0,186.0
MID-SIZE,3.6,6,Ethanol (E85),19.4,13.0,16.5,17.0,264.0
SUV - STANDARD,5.3,8,Ethanol (E85),20.5,14.0,17.6,16.0,282.0
MINIVAN,1.7466103229512937,15,Regular gasoline,23.066146785788305,5.573367518971105,6.285890133831275,68.17221202684954,400.8467045890195
STATION WAGON - SMALL,2.0,4,Premium gasoline,9.8,6.8,8.4,34.0,196.0
FULL-SIZE,3.5,6,Ethanol (E85),18.7,13.4,16.3,17.0,271.0
SUV - STANDARD,2.5,4,Regular gasoline,11.0,9.2,10.2,28.0,239.0
MID-SIZE,1.6,4,Regular gasoline,7.7,6.6,7.2,39.0,169.0
SUV - SMALL,3.0,6,Premium gasoline,13.2,8.9,11.2,25.0,258.0
FULL-SIZE,6.6,12,Premium gasoline,17.7,11.9,15.1,19.0,355.0
COMPACT,1.5,4,Premium gasoline,6.0,6.1,6.1,46.0,140.0
FULL-SIZE,3.8,6,Regular gasoline,13.8,9.3,11.8,24.0,279.0
SUBCOMPACT,1.4,4,Regular gasoline,8.0,6.0,7.1,40.0,166.0
MID-SIZE,1.4,4,Regular gasoline,9.4,7.0,8.3,34.0,191.0
MID-SIZE,1.5,4,Regular gasoline,9.5,6.3,8.1,35.0,186.0
SUBCOMPACT,2.0,4,Premium gasoline,11.1,7.3,9.4,30.0,219.0
SUBCOMPACT,4.2,8,Premium gasoline,14.9,10.1,12.8,22.0,294.0
SUV - SMALL,3.6,6,Regular gasoline,12.0,8.6,10.5,27.0,242.0
COMPACT,3.0,6,Premium gasoline,13.2,9.2,11.4,25.0,262.0
COMPACT,1.2,3,Regular gasoline,7.2,5.9,6.6,43.0,153.0
COMPACT,2.0,4,Regular gasoline,8.7,6.6,7.8,36.0,179.0
MINICOMPACT,5.0,8,Premium gasoline,15.9,10.9,13.7,21.0,315.0
MINICOMPACT,2.0,4,Premium gasoline,9.8,7.3,8.7,32.0,203.0
SUV - SMALL,2.5,4,Regular gasoline,9.6,7.5,8.7,32.0,204.0
MID-SIZE,3.5,6,Regular gasoline,11.4,7.2,9.5,30.0,223.0
COMPACT,3.5,6,Premium gasoline,9.1,7.7,8.5,33.0,200.0
SUV - SMALL,3.6,6,Regular gasoline,14.2,11.0,12.8,22.0,299.0
SUV - STANDARD,3.5,6,Regular gasoline,14.1,10.6,12.5,23.0,293.0
STATION WAGON - SMALL,2.0,4,Diesel,7.8,5.9,7.0,40.0,184.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.9,10.7,13.0,22.0,299.0
COMPACT,2.0,4,Diesel,8.1,6.4,7.4,38.0,198.0
COMPACT,2.0,4,Premium gasoline,11.0,7.4,9.4,30.0,219.0
SUV - SMALL,3.0,6,Premium gasoline,11.3,8.7,10.1,28.0,235.0
SUV - STANDARD,5.3,8,Regular gasoline,14.9,10.1,12.7,22.0,292.0
SUV - SMALL,3.5,6,Regular gasoline,13.5,9.1,11.5,25.0,270.0
COMPACT,3.0,6,Premium gasoline,13.7,9.0,11.6,24.0,267.0
SUV - STANDARD,4.0,8,Premium gasoline,18.1,15.6,17.0,17.0,396.0
SUV - STANDARD,5.504581022807543,16,Regular gasoline,15.143216114088133,17.59482970936416,18.444672567381815,58.302680051161715,481.54865311359606
MINIVAN,2.5,4,Regular gasoline,10.8,8.2,9.6,29.0,226.0
SUV - SMALL,2.0,4,Regular gasoline,10.2,8.0,9.2,31.0,212.0
SUBCOMPACT,1.2,4,Regular gasoline,7.7,6.0,6.9,41.0,159.0
VAN - CARGO,5.3,8,Regular gasoline,18.6,13.9,16.5,17.0,380.0
COMPACT,3.157805210643472,10,Ethanol (E85),13.284962213132257,15.068104829423314,14.609970442102005,45.05196908285016,410.3600194690227
MID-SIZE,2.5,4,Regular gasoline,8.5,6.3,7.5,38.0,177.0
FULL-SIZE,2.0,4,Regular gasoline,9.4,7.2,8.4,34.0,198.0
PICKUP TRUCK - STANDARD,3.6,6,Ethanol (E85),19.7,13.8,17.0,17.0,283.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.6,8.4,10.2,28.0,275.0
COMPACT,1.8,4,Regular gasoline,9.3,6.9,8.2,34.0,192.0
STATION WAGON - MID-SIZE,2.0,4,Regular gasoline,10.8,7.4,9.3,30.0,214.0
MINICOMPACT,3.8,6,Premium gasoline,12.2,8.9,10.7,26.0,251.0
SUV - SMALL,2.0,4,Regular gasoline,10.7,8.8,9.9,29.0,228.0
SUV - SMALL,2.0,4,Premium gasoline,9.8,7.8,8.9,32.0,209.0
COMPACT,2.7,4,Premium gasoline,11.5,8.0,9.9,29.0,232.0
FULL-SIZE,4.0,8,Premium gasoline,14.7,9.7,12.5,23.0,288.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,8.9,7.3,8.2,34.0,189.0
MINICOMPACT,5.9,12,Premium gasoline,18.0,12.6,15.6,18.0,365.0
SUBCOMPACT,5.0,8,Regular gasoline,15.2,9.3,12.5,23.0,288.0
SUV - SMALL,3.0,6,Premium gasoline,13.2,8.9,11.3,25.0,260.0
MID-SIZE,3.5,6,Regular gasoline,10.7,7.4,9.2,31.0,215.0
MID-SIZE,3.6,6,Regular gasoline,11.9,8.5,10.4,27.0,242.0
FULL-SIZE,2.7,6,Regular gasoline,14.0,9.4,12.0,24.0,281.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.2,7.1,8.3,34.0,191.0
SUBCOMPACT,3.0,6,Premium gasoline,11.8,7.6,9.9,29.0,232.0
COMPACT,1.4,4,Regular gasoline,8.4,6.4,7.5,38.0,176.0
MID-SIZE,2.0,4,Premium gasoline,10.1,7.2,8.8,32.0,207.0
MINICOMPACT,3.0,6,Premium gasoline,12.1,8.3,10.3,27.0,242.0
SUV - SMALL,2.0,4,Premium gasoline,13.6,9.2,11.6,24.0,267.0
COMPACT,2.0,4,Premium gasoline,12.0,8.2,10.3,27.0,237.0
FULL-SIZE,5.5,8,Premium gasoline,15.7,10.1,13.2,21.0,313.0
TWO-SEATER,2.0,4,Premium gasoline,10.4,6.7,8.7,32.0,200.0
SUBCOMPACT,3.0,6,Premium gasoline,14.1,9.6,12.1,23.0,283.0
SUV - SMALL,2.0,4,Ethanol (E85),13.6,10.0,12.0,24.0,128.0
